Marital_Status,median,mean,std,count,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,NumWebPurchases_share,NumStorePurchases_share,NumCatalogPurchases_share,top_categorie
Alone,35860.0,43789.0,15215.133486105207,3,184.66666666666666,4.0,26.333333333333332,7.666666666666667,7.0,27.0,5.0,4.0,0.6666666666666666,0.5172413793103449,0.4137931034482759,0.06896551724137931,MntWines
Divorced,52683.0,52834.22844827586,21239.759765284056,232,324.8448275862069,27.426724137931036,150.20689655172413,35.043103448275865,26.81896551724138,46.28879310344828,4.310344827586207,5.818965517241379,2.6724137931034484,0.3367003367003367,0.4545454545454545,0.20875420875420875,MntWines
Married,51876.0,51724.97899649942,21449.4064042112,857,299.85530921820305,25.6487747957993,160.89614935822638,35.46674445740957,26.751458576429403,42.84597432905484,4.085180863477246,5.849474912485414,2.6301050175029173,0.325130014858841,0.46554606240713226,0.20932392273402675,MntWines
Single,48904.0,50995.35031847134,22229.542143101145,471,291.3312101910828,27.261146496815286,184.8492569002123,38.7728237791932,27.072186836518046,43.30573248407644,3.851380042462845,5.677282377919321,2.632696390658174,0.31668994413407825,0.4668296089385475,0.2164804469273743,MntWines
Together,51369.0,52173.12062937063,21766.105816808522,572,308.92657342657344,25.52097902097902,166.7062937062937,39.11713286713287,26.276223776223777,43.25524475524475,4.104895104895105,5.760489510489511,2.6818181818181817,0.3271561933955692,0.45910547582555383,0.21373833077887694,MntWines
Widow,56551.0,56481.55263157895,16837.952451447087,76,367.13157894736844,31.86842105263158,185.32894736842104,49.9078947368421,37.86842105263158,55.85526315789474,4.618421052631579,6.355263157894737,3.3026315789473686,0.32350230414746545,0.4451612903225807,0.23133640552995394,MntWines
