Education,median,mean,std,count,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,NumWebPurchases_share,NumStorePurchases_share,NumCatalogPurchases_share,top_categorie
2n Cycle,46805.0,47633.19,22119.08183787594,200,200.845,29.36,135.08,48.04,34.725,46.88,3.765,5.56,2.355,0.3223458904109589,0.47602739726027393,0.20162671232876714,MntWines
Basic,20744.0,20306.25925925926,6235.066773288437,54,7.2407407407407405,11.11111111111111,11.444444444444445,17.055555555555557,12.11111111111111,22.833333333333332,1.8888888888888888,2.8518518518518516,0.48148148148148145,0.36170212765957444,0.5460992907801417,0.09219858156028368,MntGoldProds
Graduation,51965.5,52145.44614003591,21348.474817943134,1114,285.12657091561937,30.81238779174147,180.58886894075403,43.297127468581685,31.286355475763017,50.54398563734291,4.11669658886894,5.842908438061041,2.7333931777378817,0.32432814710042435,0.46032531824611034,0.21534653465346537,MntWines
Master,50920.5,52883.00274725275,20174.721023670005,364,333.2362637362637,21.25,161.9945054945055,31.032967032967033,20.865384615384617,39.85164835164835,4.038461538461538,5.887362637362638,2.5384615384615383,0.3240026449195504,0.4723385497024466,0.2036588053780031,MntWines
PhD,55212.0,56177.51983298539,20650.00663780383,479,407.5782881002088,20.217118997912316,170.23799582463465,26.97286012526096,20.419624217118997,32.363256784968684,4.421711899791232,6.073068893528184,2.9958246346555324,0.3277623026926648,0.4501702259362427,0.22206747137109253,MntWines
